Name,Type,SubType,AOR,Execution,Account,Platform,Incoming,I. Number,Outgoing1,Varo1,Outgoing2,VarO2,Outgoing3,VarO3,Outgoing4,VarO5,Outgoing5,VarO5,Monitoring,Monitored Data,Description,Ø Cost,Metric,Effective Cost,LastUpdate,NextUpdate,KPI
Indeed,Resource,Job Portal,Screening-Candidats,Automatic,recrutement@wesser.fr,Indeed,,40000,Text Application,1,,,,,,,,,Team Tailor,,"Indeed, biggest Jobplatform in France",0.3,Euro,12000,01.01.2025,01.01.2026,
Text Application,Action,Form Incoming,Screening-Candidats,Applicant,recrutement@wesser.fr,TypeForm,,40000,Pre Video Mail,0.75,Pre Call SMS,0.25,,,,,,,Team Tailor,"Name, Family Name, Birtday,  CV, q1, q2...",Application Form. Applicants respond to X Y Z ,0.2,Euro,8000,01.01.2025,01.01.2026,
Pre Call SMS,Action,SMS,,Automatic,recrutement@wesser.fr,Team Tailor,Text Application,10000,AI Call,1,,,,,,,,,Team Tailor,SMS received True / False,Applicant receives Msg in regards to AI Call,0.1,Euro,1000,,,
AI Call,Action,Call,,Automatic,recrutement@wesser.fr,Solers,Pre Call SMS,10000,Pre Video Mail,1,,,,,,,,,Team Tailor,"Transcription, Voice Recording, AI assesment",Apllicant receives AI Call to inform more about the job,0.4,Euro,4000,,,
Pre Video Mail,Action,Mail,,Automatic,recrutement@wesser.fr,Team Tailor,,40000,Video Application,1,,,,,,,,,Team Tailor,Mail received True False,Applicants receive a link by mail to selfrecord a video of why they should be hired,0.1,Euro,4000,,,
Video Application,Action,Video Incoming,,Automatic,recrutement@wesser.fr,Team Tailor,Pre Video Mail,40000,,1,,,,,,,,,Team Tailor,Video Recording,Applicants selfrecord a video of why they should be hired,0.1,Euro,4000,,,
Ghost 1,State,Out,,Applicant,recrutement@wesser.fr,Team Tailor,Video Application,36000,,0.9,,0.9,,,,,,,Team Tailor,,Applicants ghost and are never heard of again. ,,,0,,,
Application Review 1,Decision,Automation,Screening-Candidats,Automatic,recrutement@wesser.fr,Team Tailor,Video Application,4000,,0.1,,0.1,,,,,,,Team Tailor,,If not want to live with others OR If inflexible with location,0.1,Euro,400,01.01.2025,01.01.2026,
Rejection 1,State,Out,Screening-Candidats,Automatic,recrutement@wesser.fr,Team Tailor,Application Review 1,2000,Rejection Mail,0.5,,0.5,,,,,,,Team Tailor,,"Automation inside TT, paired with Recrutement Gmail",0.1,Euro,200,01.01.2025,01.01.2026,
Application Review 2,Decision,Manual Verification,Screening-Candidats,Noemie,recrutement@wesser.fr,Team Tailor,Application Review 1,2000,,0.5,,0.5,,,,,,,Team Tailor,,If language not French OR If birthyear < 1990,0.5,Minutes,1000,01.01.2025,01.01.2026,
Rejection 2,State,Out,Screening-Candidats,Automatic,recrutement@wesser.fr,Team Tailor,Application Review 2,1000,Rejection Mail,0.5,,0.5,,,,,,,Team Tailor,,"Automation inside TT, paired with Recrutement Gmail",0.1,Euro,100,01.01.2025,01.01.2026,
Video Screening,Decision,Manual Verification,,Gil,recrutement@wesser.fr,Team Tailor,Application Review 2,1000,,0.5,,0.5,,,,,,,Team Tailor,Gil's Special Sauce Ingredient List Checkbox,Verification of videos based on quality of candidate. Elaborate Notes are taken,5,Minutes,5000,,,
High Potential Candidate,State,Checkpoint,,Gil,recrutement@wesser.fr,Team Tailor,Video Screening,100,,0.1,,0.1,,,,,,,Team Tailor,Candidate Assesment,Is really good checks all boxes,,,0,,,
Medium Potential Candidate,State,Checkpoint,,Gil,recrutement@wesser.fr,Team Tailor,Video Screening,200,,0.2,,0.2,,,,,,,Team Tailor,Candidate Assesment,Checks all boxes but not brilliant,,,0,,,
Low Potential Candidate,State,Checkpoint,,Gil,recrutement@wesser.fr,Team Tailor,Video Screening,100,,0.1,,0.1,,,,,,,Team Tailor,Candidate Assesment,Charismartic but need more information,,,0,,,
Rejection 3,State,Out,,Gil,recrutement@wesser.fr,Team Tailor,Video Screening,600,,0.6,,0.6,,,,,,,Team Tailor,Candidate Assesment,Just not good enough,,,0,,,
HP Call 1,Action,Call,,Noemie,recrutement@wesser.fr,Aircall,High Potential Candidate,100,HP Interview,0.5,HP Reminder Mail 1,0.5,,,,,,,Team Tailor,Note taking during call,Waiting for someone to pick up the phone takes on average half a minute,0.5,Minutes,0.5,,,
